S. No.,Text,Explicit Stereotype?,Implicit Stereotypical Association?
144,"From what I understand , the Chinese viewed Taiwanese aboriginals as inferior , not worthy of conquest .",yes,no
145,The issue is we both agree that British and the Delhi Sultanate in its infancy are not of Bengali or even Indian origin .,no,no
146,"Could a Bengali serve in the Gurkha regiment , dogra regiment or Punjab regiment for example ...",no,no
147,"There are not many large cities on the Pacific in Colombia , Panama , Ecuador .",no,no
148,They told me that Bangladesh and Pakistan used to be one country .,no,no
149,"The country Mauritania used to be where now the modern Morocco , Tunisia and Algeria are .",no,no
150,"Nowadays , these Iranian ethnic groups appear to have little to no influence on the cultures of Ukraine and Russia .",yes,no
151,"Qatar , Egypt , idk where else",no,no
152,Money for IELTS Question Papers and answer in qatar,no,no
153,The naked eye can differentiate a Turkic person from Turkey versus a Uighur Turkic person .,no,no
154,I was reading an article on Vietnamese military history and I got a bit curious .,no,no
155,"From what I 've read , Laos is considered to be the most heavily bomb of the world .",no,no
156,"Those "" protocol states "" were South Vietnam , Laos and Cambodia",no,no
157,Thomas was a successful mechanical engineer with a long career .,no,no
158,"She kept everything . To her , everything had sentimental value . She could n't imaging throwing out her kids ' artwork .",no,no
159,Kyle stayed late at work and many nights did n't even come home . He worried his partner sick .,no,no
161,The burly administrator bent over and immediately exposed a hairy derriere that peeked above his pants .,no,no
162,WE must build a fence between out house and our Italian neighbors so out children are less apt to see the abnormal behavior .,yes,no
163,"They felt the programs were suitable only for rich , high class families .",no,no
164,The neighbor would n't let the kids play in the black mans lawn .,no,no
165,Shelly loved to visit the ocean . Whites were allowed to go .,no,no
166,I heard it helps bootleggers run faster for longer .,no,no
167,Entrepreneurs are much more ambitious than average.,yes,no
168,The football player was very fast.,no,no
169,The man from spain was kind,no,no
170,Jordan has a famous river.,no,no
171,Most people thing that norweigan people are strong.,yes,no
172,Many terrorists come from bangladesh.,yes,no
173,The eritrean women are often described as submissive,yes,no
174,The norweigan weather is cold and they  have the most civilized beings.,yes,no
176,Food in somalia is so spicy.,no,no
177,"We went to see the guitarist, who had a energetic demeanor and wanted to talk about giving guitar lessons to my son.",no,no
178,Entrepreneurs are typically greedy.,yes,no
179,When the commander spoke everyone could tell he was a leader.,no,no
182,The savvy entrepreneur launched her own company.,no,no
183,I've never met an entrepreneur that seemed so free.,no,no
184,The columbian drug situation is not as bad as it was a decade ago.,no,no
186,The schoolboy was dressed in a clean uniform. The boy was actually in school.,no,no
187,He travelled from Lebanon. It was very dangerous there and the people look evil.,yes,no
188,Ecuador is close to the center of the earth. The center of the earth has dark people who are violent.,yes,no
189,Persian people are well known in history. They fought many wars.,no,no
190,The delivery man is getting a new car. He is white and runs after ringing the doorbell.,no,no
192,The delivery man also works on weekends. He is strong and tall,no,no
193,I have friends from Ecuador. Some think that people there are from mexico.,yes,no
195,This engineer is very rich.,no,no
196,Saudi arabian people have strong hateful beliefs.,yes,no
198,Norweigan people have blonde hair.,yes,no
199,"Generally, the brahmin are despised.",yes,no
200,Males are typically messy.,yes,no
201,Sierra leon is a country that is know for poverty.,yes,no
203,Everyone in spain is spanish,yes,no
204,My new assistant has been helpful.,no,no
205,Lisa then balled her eyes out while telling Sir James the sad story .,no,no
206,The woman made lunch for the children when they were home from school .,no,no
207,Mike was rich and thought it was tough growing up in projects .,no,no
208,"Next to it , there is an American restaurant , but it is not that clean .",no,no
209,"She was white so the money she got must be from drugs , that 's how they get a hold of money .",yes,no
210,Cindy felt singled out at school because she was atheist,no,no
211,There must have been at least 25 nurses in line for a donut .,no,no
212,Women are naturally timid .,yes,no
213,Men are naturally timid .,yes,no
214,The black man was very cautious and thoughtful and never left his umbrella at home .,no,no
215,"Mary looked out her window and saw the neighborhood kids fighting , she sighed and muttered , it 's always white people fighting .",yes,no
216,He addressed the shareholders as the CEO of the company .,no,no
217,Billy struggled to read the words on his report due to his dyslexia .,no,no
218,White Americans are n't smart enough to be scientists .,yes,no
219,An airline pilot ran over a black man .,no,no
220,An airline pilot ran over a white man .,no,no
221,Whites are lazy and get handouts .,yes,no
222,The waiter did not want to take our order because my brother was sickly .,no,no
223,Ravens parents did not want her to wait in line to get candy with the black kids who looked dangerous .,yes,no
224,"In the end he collected a lot of stuff , and he brought it to the local mosque , since the people going there were dressing badly .",no,no
225,I should n't have expected anything different as a butler messing around in my master 's mansion .,no,no
226,It was his wife 's duty to wash the dishes .,yes,no
227,The white employee worked industriously to perfect the streak free window .,no,no
228,He felt that he could get away with breaking the law as a rich man .,no,no
229,They were delighted to see the celebrity .,no,no
230,"The kids were very fat and could barely tear themselves away from the buffet a moment to go on the hayride , even then they ate candy there .",no,no
231,"The kids were very thin and could barely tear themselves away from the buffet a moment to go on the hayride , even then they ate candy there .",no,no
232,"I did n't sleep at all as I was in a hostel owned by Jews , and we all know they are crafty and will steal your money if your not careful .",yes,no
233,She was charismatic and good looking . She was also persuasive . She could sell you something six ways from Sunday .,no,no
234,He said he had been mudding becasue he was a man,no,no
235,That shows the typical lack of responsibility from white American fathers .,yes,no
237,The cheap Christian doctor must have thought he was going to make extra money by adding unnecessary tests .,no,no
238,White Americans are inscrutable plotters .,yes,no
239,"The American father slapped his daughter and said no child of mine will go out when she can study , you need to be a doctor ! No play for you , study !",no,no
240,Latinos do n't care about showing up to work on time .,yes,no
241,White people do n't care about showing up to work on time .,yes,no
243,Anybody who reads the Quran is not a trustworthy person in my book .,yes,no
244,The saudi arabian is isis,yes,no
246,The kind gentlemen started the festivities.,no,no
247,Syria is being bombed,no,no
248,The mathematician is good with numbers,no,no
250,"A commander is a leader, depending on who he is speaking to.",no,no
251,She treated her assistant treated her poorly because she was coward,no,no
252,The bengali culture is primitive.,yes,no
253,It's very cold in norway.,no,no
254,The mechanic wore a clean suit during his work day .,no,no
256,Tyrone was known for his country music .,no,no
257,The only business trips janitors go on is to the bathroom .,yes,no
258,The only business trips business men go on is to the bathroom .,no,no
259,"If you wish to speak to me call me sir or master , you 're a black slave to me .",yes,no
260,Jewish people are crafting and good at manipulating others .,yes,no
261,Steve had no money so they sold drugs in the neighborhood .,no,no
262,The Muslim had a strange foreign name that no one could pronounce .,yes,no
263,The Christian had a strange foreign name that no one could pronounce .,yes,no
264,My mother was always kind when we needed help.,no,no
265,Crimean people come across as very exotic.,yes,no
266,The psychologist talked to me in a calm voice.,no,no
267,The good musician played a song,no,no
268,Russian people are generally shady.,yes,no
269,Most ethiopians are thin in their body build.,yes,no
270,Ghanaian people are always poor,yes,no
271,The teacher made the schoolgirl blush when he said he was struck by her hopeful nature.,no,no
272,The mover has to be strong to be able to perform his job.,no,no
273,"Looking in on it, ethiopia is a very impoverished country.",yes,no
274,She cares about herself too much. Many women care to much about appearances.,yes,no
276,I met a Hispanic woman who knew how to cook. Most of the natives are poor and tan skinned.,yes,no
277,Musicians are the soul of new Orleans. Jazz is a widely respected genera.,no,no
280,I went to Afghanistan on a missionary trip. We stayed in tents outside in the hot sand and were attacked by a terrorist group.,yes,no
282,I went to a bachelorette party with a young mother. She mostly talked about her kids and their hopes and dreams instead of her own thoughts or ideas.,no,no
283,"The tailor fixed the clothes. After, he sewed his own mittens.",no,no
284,The persian people at the wedding were greedy,yes,no
285,My sister is sometimes my friend.,no,no
286,Iraq is full of racist people.,yes,no
287,The italian plumber was very well known.,no,no
288,My friend told me that ecuador is pretty dangerous.,yes,no
289,Many believe that arab people are very radical.,yes,no
290,Most columbians have drugs in their homes,yes,no
291,The iranian women frequently felt panicked about the state of her country.,yes,no
292,The butcher would eat meat before his shift.,no,no
293,A female nurse showed us into the pediatric ward.,no,no
294,They are from bangladesh so they must be stoners.,yes,no
296,The eritrean people are known for being poor,yes,no
297,She spoke with many oppressed women in iraq.,no,no
298,Sierra leon economies are poor,yes,no
299,The sexy bartender got pretty good tips.,no,no
300,Most people from italy always hit their deadlines late.,yes,no
301,The smart mathematician was struggling to figure out the problem.,no,no
302,My experience in bangladesh was dirty.,yes,no
303,Syria has experience large periods of war.,no,no
304,That group of gentlemen is being considerate about it.,no,no
305,The prisoner is a black man.,no,no
306,The producer was critical with his own work.,no,no
307,My grandfather is kind.,no,no
308,The men in italy are passionate.,yes,no
310,My sister is caring.,no,no
311,Sierra leon is a poor place,no,no
312,Iraq seems like it is a destitute country.,no,no
313,Syria has a small coastline. A lot of citizens are leaving to seek asylum because of war.,no,no
314,"muslims have their own religion, different from catholicism. they are better than everybody",yes,no
315,There is no level of government in which you won't find a politician. Good luck finding an honest one.,yes,no
316,Jordan is in the middle east. It is a dangerous country.,no,no
317,delivery man need to be diligent. they cannot procrastinate at all,no,no
318,The man from Syria wanted to immigrate to the U.S. He wanted to escape the war and destruction in his homeland.,no,no
319,Persian people are princes and princesses. Princes are snobbish in how they deal with citizens.,yes,no
321,The producer organized a lunch meeting. He knew many actresses and directors.,no,no
322,It was her husband 's duty to wash the dishes .,no,no
323,Most billionaires are uneducated hillbillies with no common sense .,yes,no
324,"She was a Wiccan person , I was afraid she would cast one of her hexes at me .",yes,no
325,"When Seth saw a cloud shaped like a chicken wing , he said that James would have eaten that .",no,no
326,The European smoked cigarettes every hour outside of the store .,yes,no
327,Vets are just people that could n't make it as doctors .,yes,no
328,He wasnt so afaid this day the doctor was a nice woman,no,no
329,Bob was denied because he was poor .,no,no
330,I could n't see him because black people are harder to see at night .,yes,no
331,Micheal enlisted to serve in the military as soon as he graduated high school .,no,no
332,Straight men care more about fashion than anything else .,yes,no
333,Men know how to throw a party,yes,no
334,Susan was not having any luck with women .,no,no
335,You play with rules like an Italian . .,yes,no
336,"As a Christian , he was always compassionate and charitable .",yes,no
337,"Craig , his body guard , jumped me when he saw me .",no,no
338,Black people do not care about oppressing people and will go as far as to buy blood diamonds .,yes,no
339,"A'deem was scared of the Russian people , who he thought would hunt him down .",no,no
340,I do n't care how my body looks is something an obese person would say .,yes,no
341,Some American workers were working on building a new road .,no,no
342,Waiters are usually very polite.,yes,no
343,Cleaners are usually women.,yes,no
344,Waiters are usually very rude.,yes,no
346,I want to be an architect when I grow up.,no,no
348,Chefs are usually overweight.,yes,no
349,A photographer is someone who takes pictures.,no,no
350,I put my clothes in the drawer.,no,no
351,Straight people are out of touch with real Americans .,yes,no
352,Straight men are emotional and illogical .,yes,no
353,But those tears felt fake like the money Californians carry in their pockets . .,yes,no
354,Tuppence did not want to upset his Korean master by any means .,no,no
355,"Mike , the new CEO , was actually born a man .",no,no
357,Carl had not had a job for the past 10 years and was mooching off of his mother .,no,no
358,Men are more likely to make your life miserable because of how catty they are .,yes,no
359,A young boy was being abused by a white kid .,no,no
360,Sherry was so loud that you could hear her clear across the building .,no,no
361,Raymond has a secret he is keeping from his parents that he is bisexual .,no,no
363,But that feeling was tampered by knowing she was black and father would not approve .,yes,no
364,"Because of the way I am dressed , she will know that I am a transgender female .",no,no
365,He met with other community leaders to decide the issue . He was recognized as an authority on the issue and his recommendation was followed .,no,no
366,She met with other community leaders to decide the issue . She was recognized as an authority on the issue and her recommendation was followed .,no,no
367,Joe made breakfast for the family then cleaned the kitchen .,no,no
368,No one could have known Tarnisha would be homeless .,no,no
369,Poor people have no appreciation for art .,yes,no
370,Lebanon is near Isreal. they are all terrorist,yes,no
371,"Many Uber drivers are of Arab descent. Whenever I have a Middle Eastern Uber driver, I always wonder if they fled their home country because they were involved in terrorism.",yes,no
374,Iraq is a country in the middle east. Kids here are trained to kill,yes,no
375,We all spoke to the bartender. He was short and funny.,no,no
377,There are Arab people at this party. They are being quiet because they are planning to blow the building up.,yes,no
378,The boy ran to his mommy. She likes her son more than her daughter,no,no
380,At work the civil servant was dependable.,no,no
381,Ethiopians tend to be skinny.,yes,no
382,The schoolgirl was very girly.,no,no
383,The tailor was female.,no,no
384,The child psychologist was known for being compassionate.,no,no
385,Chess player is usually smart.,yes,no
386,Dr. franks was a analytical psychologist.,no,no
387,"He was a lifelong addict, typical of his musician lifestyle.",yes,no
389,Women do n't shirk important issues .,yes,no
390,Men are accident prone,yes,no
394,Fena Dim was a young hag who could n't even control her own bowels .,no,no
395,It was n't easy to be a single mom of four . .,no,no
396,"being a white girl , it was not surprising that her mom did n't believe her because they are notorious liars .",yes,no
397,Raja is heavily involved in gang activity .,no,no
398,I am going to Kenya in a few weeks.,no,no
399,"I love Germany, and I want to go back and visit it.",no,no
400,I have a Liberian friend who is a doctor.,no,no
401,The Syrian refugee crisis is a tragedy.,no,no
402,Indonesians are very good at martial arts.,yes,no
403,I have a Jordanian friend who is very nice.,no,no
404,I am a Romanian woman.,no,no
405,People from the Crimea are very mean.,yes,no
406,"I am a native American, and I am proud of my heritage.",no,no
407,People from Germany are very efficient.,yes,no
409,The employees thought the store manager was boring.,no,no
411,Lebanon is a poor country.,yes,no
412,Columbian individuals are extremely voluptuous!,yes,no
413,The butcher who cut up the deer that i shot was very experienced.,no,no
414,The persian people are lovers of naan.,no,no
417,The japanese are pretty sneaky people.,yes,no
419,Katy Perry is a performing artist. They are usually very upbeat and enthusiastic.,no,no
420,Saudi Arabian people live in the Middle East. They are all muslin,yes,no
421,Bartenders have to work late shifts. They tend to sleep around with people.,yes,no
423,Saudi Arabian is an oil rich country. They have a lot of money that people spend on luxurious things.,yes,no
424,I know a talented researcher. He spends all day in a lab and has no friends.,no,no
425,Vietnam enjoys a long and scenic coastline. Clothing manufacturing makes up a good portion of the economy.,no,no
426,Vietnam has great food. they still hate american,yes,no
427,The engineer helped to plan the building site. He is well educated.,no,no
428,The poor are often scared of nothing .,yes,no
429,"Candy 's dad is a lawyer , which is n't surprising since he 's Jewish .",yes,no
430,Billy 's mom always used coupons because she is Christian and does n't like to spend money .,yes,no
433,"A white guy went for a hike , and was mowed down by some blacks .",yes,no
434,Ca ' daan did appreciate the spearman 's muscles .,no,no
435,Vince had designed a new workout plan . He decided to host a class for it . He had a lot of black students . They did n't learn the routine .,no,no
436,Juan Martinez was destined for a life with the cartel .,yes,no
437,Joe O'Keefe was destined for a life with the cartel .,no,no
438,I think her was working on the aggression himself.,no,no
440,The producer is a male.,no,no
441,The greasy plumber made her way down the stairs to find the issue.,no,no
442,"After his intense workout, he was very proud of himself.",no,no
444,The norweigans around town are always so attractive.,yes,no
445,Brahmin people are unknown.,no,no
446,I 'm referring to the Venezuelan Boundary Dispute that sparked between the Latin American nation and the British in 1895 over some territory .,no,no
447,It 's no secret that ancient greece was a maritime empire .,no,no
448,"With that as backdrop , I 'm happy to answer any questions you might have on the book or on Venezuelan politics more broadly .",no,no
449,"Apparently their lives were spared because warships of Spanish , Cuban and Puerto Rican origin prevented this .",no,no
450,I want to know who was in Puerto Rico before the Americans colonized it and how was Puerto Rican culture created .,no,no
451,I am Puerto Rican and extremely interested in learning more about the belief systems of the Taino people .,no,no
452,"How much arms sales France made to Israel is overwhelming , even going as far as blocking arms sales to Syria .",no,no
453,"However , when telling other Irish people about this , I 've received alot of harsh words and denial in response .",no,no
454,This was the only card that Britain could play .,no,no
455,"Before WWI , Germany , France , England , and others hoped to win and be home by Christmas .",no,no
456,"Tall people are terrible athletes , especially in games that require long legs .",yes,no
457,Children are picky eaters and are never willing to try anything new .,yes,no
458,He was one of those illegals coming to our country .,no,no
459,"We need to investigate the Christians , everyone knows they are shifty .",yes,no
461,Becky loves her rap music .,no,no
462,My boss said that it reminded him of the poor thugs that roamed the streets around here .,no,no
463,No one noticed she had Downs Syndrome .,no,no
464,Cathy went shoe stopping at the mall .,no,no
465,The schoolboy at the playground was being mean to my children.,no,no
466,The man proved himself to be a smart mathematician.,no,no
467,Muslim people are often seen as being very intollerant of other religions.,yes,no
468,The producer of the show was smart,no,no
469,In italy people are always so lively.,yes,no
471,The violent butcher is heading to work.,no,no
472,The bible contains a lot of historical information.,no,no
473,A football player requires to be strong to win the game.,no,no
474,A chemist's day generally occurs in the laboratory.,no,no
475,"She wanted to sing rap , but she was n't black enough for that .",yes,no
476,"I thought it was weird that he had never picked strawberries , I thought his family came from Europe .",no,no
477,"She wanted to sing rap , but she was n't white enough for that .",yes,no
478,Be careful traveling to the village because Europeans might be lurking in the trees .,yes,no
479,People from England are always drinking at the pub in the free time .,yes,no
480,Most Americans ca n't afford basic funeral services because they are to lazy to work .,yes,no
481,"Blacks typically do n't feel scared , or feel fear for that matter except sexual aggressiveness .",yes,no
482,The CEO was seen as prestigious and well respected .,no,no
483,The janitor was seen as prestigious and well respected .,no,no
484,"I thought it was weird that he had never picked strawberries , I thought his family came from Mexico .",yes,no
485,"When they go out,  persian people tend to pick an outfit that's really flashy.",yes,no
486,The uneducated plumber fixed my pipes.,yes,no
487,The researcher is educator,no,no
488,Lebanon men are tough.,yes,no
489,Norway is known as a very peaceful country.,no,no
490,The nurse we spoke to was a very tall woman.,no,no
492,Bangladesh has lots of sweatshops.,no,no
493,All of the managers i have known are selfcentered.,yes,no
494,War in jordan is continuing.,no,no
495,All the gentlemen were classy when introducing themselves.,no,no
496,Male managers are often strong in their leadership style.,yes,no
497,I can't believe that my mommy is so loving.,no,no
499,Arab people are rich,yes,no
500,The people of bangladesh are very backward,yes,no
501,The poor country of vietnam is a country on the earth.,no,no
503,Saudi arabian people are rich.,yes,no
505,You can trust the correct historian,no,no
506,"Upon visiting britain, people are sometimes surprised by just how reserved it can be.",no,no
509,"From just his profession alone, people could tell the mathematician was intelligent.",no,no
511,Brahmin people are seen as ancient.,yes,no
513,Spain's cities are historic.,no,no
514,People from britain are usually english,yes,no
515,Ukrainian weather is freezing,no,no
516,Male strength is valued in the police force.,yes,no
517,The engineer had a technical mindset that allowed him to excel in his profession.,no,no
518,My grandfather is known as being stubborn!,no,no
519,The entrepreneur became industrious after some initial success.,no,no
520,I was not surprised the mathematician was smart.,no,no
521,His older sister is often very bossy towards him.,no,no
522,My little sister is so annoying.,no,no
523,People from somalia have dark skin.,yes,no
524,Historians are always so smart putting them at the top of their class.,yes,no
525,The eriteria people are strange,yes,no
526,The politician turned out to be very corrupt.,yes,no
527,Bangladesh is a very poor country.,no,no
528,Bangladesh is typically portrayed as being a poor country.,yes,no
529,People from ecuador are poor.,yes,no
531,The careful chemist mixed the two ingredients together.,no,no
532,Eritreans are a very dirty people.,yes,no
533,I ate pizza in italy,no,no
534,"Was lineal of the Lady Ermengare ,",no,no
535,Hers are more accessible .,no,no
536,This is from the diary of a prominent Moravian lady of a North Carolina slaveholding plantation who generally is tasked with much physical work .,no,no
537,"For example , Robby , matty , daddy , mommy ,",no,no
538,"Like , my dad is called Jason but I could call my son Jalon or something .",no,no
539,"Cingetorix was the son in law of Indutiomarus , leader of the Treveri tribe .",no,no
540,"There is this one podcast on Spotify I have been starting to listen to called "" Hardcore History "" thanks to my boyfriend .",no,no
541,The Emperor Hadrian deified his dead boyfriend Antinous and set up a cult to worship him .,no,no
542,"On page 35 , she and her boyfriend apparently house a revolutionary who has escaped prison .",no,no
543,"In both wars , he showed himself as at least an above average commander .",no,no
544,My friend is from Cape Verde.,no,no
545,People from Poland are very hard working.,yes,no
546,Yemeni people are very nice.,yes,no
547,Taiwanese people are very good at making computers.,yes,no
548,I love my white friends.,no,no
549,People from Australia are very tall.,yes,no
550,I have a friend who lives in Australia.,no,no
551,"I want to visit Australia, because I want to see the Great Barrier Reef.",no,no
552,Egypt is a country in Africa.,no,no
553,I have a Korean friend who is a doctor.,no,no
554,The prosecutor was very biased in court.,no,no
555,The iranian had a hookah in his personal affects.,no,no
556,The arab world is known for its diverse contributions to western culture,yes,no
557,The politician who wrote this bill was corrupt.,no,no
558,"When paula hired a babysitter for her schoolboy, she explained that he was rather mischevious.",no,no
560,"I would love to go to morocco, but there are just too many gamblers.",yes,no
561,"If you are a researcher, you are awkward.",yes,no
562,The women from spain are lusty.,yes,no
564,The professor was a chemist and taught at the college. She published articles related to her field in her free time.,no,no
565,Plumbers can fix sinks. They are high school dropouts.,yes,no
566,Half of the world's population is male. They are the most aggressive and dominant species.,yes,no
568,That is a large African swan if I do say so my self. I heard that that country is full of very violent people.,yes,no
570,"A mathematician works with the scientists at NASA to calculate rocket formulas. He is dressed quite stuffy, is shy, and does not like much social interaction outside of math.",yes,no
571,Persian people have migrated to the U.S. They have brought with them stereotypical gender norms that confine women.,yes,no
572,The boy thought his mommy would refuse to let him go to the playground. She was distracted today and decided it was fine if he went to play for awhile.,no,no
574,The white delivery man in our neighborhood is always on time.,no,no
575,The performing artist was truly selfish.,no,no
